"player_key","athlete_name","season","position","games","overall","round","pick","height","weight","pre_draft_ranking","pre_draft_position_ranking","pre_draft_grade","fumbles_rec_pg","fumbles_lost_pg","fumbles_fum_pg","interceptions_td_pg","interceptions_yds_pg","interceptions_int_pg","rushing_long","rushing_td_pg","rushing_yds_pg","rushing_car_pg","passing_int_pg","passing_td_pg","passing_yds_pg","passing_completions_pg","passing_attempts_pg","passing_avg","rushing_avg","passing_qbr","athlete_id","nfl_player_id","nfl_name","nfl_rookie_season","avg_weekly_ppr","n_weeks"
"brendon lewis","Brendon Lewis",2025,"QB",12,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,1,NA,NA,NA,27,0.75,51.0833333333333,11.75,0.5,1.25,213.916666666667,19.9166666666667,28.5833333333333,7.48396501457726,4.34751773049645,65.5083333333333,4429149,NA,NA,NA,NA,NA
"brennan myer","Brennan Myer",2025,"QB",5,NA,NA,NA,NA,NA,NA,NA,NA,0,0.666666666666667,1,NA,NA,NA,18,0.4,5.2,5.4,1.4,1.4,238.6,20.6,36,6.62777777777778,0.962962962962963,NA,5226265,NA,NA,NA,NA,NA
"brennen ward","Brennen Ward",2025,"QB",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,25,3,6,4.16666666666667,NA,10.7,5164333,NA,NA,NA,NA,NA
"brenton toles iii","Brenton Toles III",2025,"QB",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,0,19,2,3,6.33333333333333,1,NA,5226452,NA,NA,NA,NA,NA
"brett brown","Brett Brown",2025,"QB",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,5,1,NA,NA,NA,NA,NA,NA,5,NA,5081162,NA,NA,NA,NA,NA
"brett griffis","Brett Griffis",2025,"QB",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,8.83333333333333,2,0,0,8.5,1,3,2.83333333333333,4.41666666666667,NA,4711410,NA,NA,NA,NA,NA
"broc lowry","Broc Lowry",2025,"QB",12,NA,NA,NA,NA,NA,NA,NA,NA,0,0.666666666666667,1.33333333333333,NA,NA,NA,37,1.16666666666667,72.9166666666667,14.5,0.166666666666667,0.583333333333333,131,12.1666666666667,19.1666666666667,6.83478260869565,5.02873563218391,53.9333333333333,5074245,NA,NA,NA,NA,NA
"brock glenn","Brock Glenn",2025,"QB",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,15,0,10.75,1.75,0,0.5,17.25,1.5,2.5,6.9,6.14285714285714,61.05,4920158,NA,NA,NA,NA,NA
"brock hansel","Brock Hansel",2025,"QB",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,11,1,3,3.66666666666667,NA,0,5092511,NA,NA,NA,NA,NA
"brock riddle","Brock Riddle",2025,"QB",6,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,14,0.25,0,3.25,0.5,0.5,53.3333333333333,4.5,9.83333333333333,5.42372881355932,0,NA,5227733,NA,NA,NA,NA,NA
"brock thomas","Brock Thomas",2025,"QB",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0,3.4,1.8,0,0.2,26,2.4,3.2,8.125,1.88888888888889,65.74,5158446,NA,NA,NA,NA,NA
"bronson barben","Bronson Barben",2025,"QB",10,NA,NA,NA,NA,NA,NA,NA,NA,0,0.75,1,NA,NA,NA,23,0.1,12.6,5.2,1.2,0.6,168.2,16.9,28.8,5.84027777777778,2.42307692307692,NA,5224562,NA,NA,NA,NA,NA
"bronson barron","Bronson Barron",2025,"QB",10,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,1.5,NA,NA,NA,12,0.1,-2.4,5.5,0.4,1.1,213.5,17.3,26.3,8.11787072243346,-0.436363636363636,NA,4697131,NA,NA,NA,NA,NA
"brooks ferguson","Brooks Ferguson",2025,"QB",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,37,1,2,18.5,NA,NA,5085571,NA,NA,NA,NA,NA
"bryce patterson","Bryce Patterson",2025,"QB",5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,16,0,14.2,5.6,1,0.5,133.25,10.75,19.75,6.74683544303798,2.53571428571429,NA,5084352,NA,NA,NA,NA,NA
"bryce schondelmyer","Bryce Schondelmyer",2025,"QB",7,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,28,0,-3.2,3.2,0,2.28571428571429,199.714285714286,15.1428571428571,22.5714285714286,8.84810126582278,-1,NA,5154881,NA,NA,NA,NA,NA
"bryce underwood","Bryce Underwood",2025,"QB",12,NA,NA,NA,NA,NA,NA,NA,NA,0,0.666666666666667,1,NA,NA,NA,37,0.416666666666667,26.9166666666667,6.16666666666667,0.5,0.75,185.75,14.9166666666667,24.4166666666667,7.60750853242321,4.36486486486486,64.25,5141741,NA,NA,NA,NA,NA
"bryson barnes","Bryson Barnes",2025,"QB",12,NA,NA,NA,NA,NA,NA,NA,NA,0,0.75,1.25,NA,NA,NA,58,0.75,61.0833333333333,14.6666666666667,0.333333333333333,1.5,223.833333333333,16.8333333333333,27.9166666666667,8.01791044776119,4.16477272727273,56.9916666666667,4695600,NA,NA,NA,NA,NA
"bryson broadway","Bryson Broadway",2025,"QB",2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,0,0,-2,1,0,0.5,20,2.5,3.5,5.71428571428571,-2,NA,5303183,NA,NA,NA,NA,NA
"byrd ficklin","Byrd Ficklin",2025,"QB",11,NA,NA,NA,NA,NA,NA,NA,NA,0,0.333333333333333,1,NA,NA,NA,74,0.909090909090909,45.7272727272727,5.09090909090909,0,0.5,50.1666666666667,3.5,5.83333333333333,8.6,8.98214285714286,89.6166666666667,5294263,NA,NA,NA,NA,NA
"byron mcnair","Byron McNair",2025,"QB",11,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1.25,NA,NA,NA,40,0,-0.545454545454545,6.09090909090909,0.545454545454545,0.818181818181818,141.636363636364,13.9090909090909,22.1818181818182,6.38524590163934,-0.0895522388059701,NA,5298787,NA,NA,NA,NA,NA
"byrum brown","Byrum Brown",2025,"QB",12,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1.25,NA,NA,NA,60,1.16666666666667,84,14.5833333333333,0.583333333333333,2.33333333333333,263.166666666667,18.8333333333333,28.4166666666667,9.26099706744868,5.76,71.825,4880272,NA,NA,NA,NA,NA
"c j carr","C.J. Carr",2025,"QB",12,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,28,0.272727272727273,3,3.72727272727273,0.5,2,228.416666666667,16.25,24.4166666666667,9.35494880546075,0.804878048780488,75.925,5079369,NA,NA,NA,NA,NA
"cade carruth","Cade Carruth",2025,"QB",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,10,1,NA,NA,NA,NA,NA,NA,10,NA,5093292,NA,NA,NA,NA,NA
"cade cunningham","Cade Cunningham",2025,"QB",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,0.3,4880833,NA,NA,NA,NA,NA
"cade fennegan","Cade Fennegan",2025,"QB",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,0,8,1,1,8,1,NA,4610570,NA,NA,NA,NA,NA
