"player_key","games","fumbles_rec","fumbles_lost","fumbles_fum","interceptions_td","interceptions_yds","interceptions_int","receiving_td","receiving_yds","receiving_rec","rushing_td","rushing_yds","rushing_car","receiving_long","rushing_long","receiving_avg","rushing_avg","nfl_player_id","nfl_name","nfl_rookie_season","avg_weekly_ppr","n_weeks"
"nate adkins",5,0,0,0,0,0,0,0,90,8,0,1,1,32,1,11.25,1,"00-0038783","Nate Adkins",2023,1.24,5
"nic jacobs",3,0,0,0,0,0,0,0,58,5,0,0,0,21,NA,11.6,NA,"00-0030806","Nic Jacobs",2014,1.37142857142857,7
"nick kallerup",6,0,0,0,0,0,0,0,102,7,0,0,0,44,NA,14.5714285714286,NA,"00-0040058","Nick Kallerup",2025,0,4
"nick kasa",8,0,0,0,0,0,0,3,391,25,0,0,0,70,NA,15.64,NA,"00-0030512","Nick Kasa",2013,1.975,4
"nick muse",11,0,0,0,0,0,0,2,222,20,0,0,0,29,NA,11.1,NA,"00-0037317","Nick Muse",2023,3.2,1
"nick o leary",10,0,0,0,0,0,0,5,517,44,1,0,0,30,0,11.75,NA,"00-0032117","Nick O'Leary",2015,1.56666666666667,3
"nick vannett",9,0,0,0,0,0,0,0,148,18,0,0,0,26,NA,8.22222222222222,NA,"00-0032394","Nick Vannett",2016,2.06666666666667,3
"noah fant",12,0,0,0,0,0,0,7,518,39,0,1,2,65,3,13.2820512820513,0.5,"00-0035644","Noah Fant",2019,6.9375,16
"noah gray",8,0,0,0,0,0,0,2,254,26,0,2,1,24,2,9.76923076923077,2,"00-0036637","Noah Gray",2021,2.22222222222222,9
"noah togiai",12,0,0,0,0,0,0,3,406,44,0,0,0,23,NA,9.22727272727273,NA,"00-0036005","Noah Togiai",2020,0,1
"o j howard",13,0,0,0,0,0,0,2,445,37,0,0,0,40,NA,12.027027027027,NA,"00-0033879","O.J. Howard",2017,7.78461538461538,13
"oronde gadsden ii",12,0,0,0,0,0,0,5,848,68,0,12,1,39,12,12.4705882352941,12,"00-0040189","Oronde Gadsden II",2025,8.5875,16
"orson charles",12,0,0,0,0,0,0,5,572,44,0,0,0,36,NA,13,NA,"00-0029414","Orson Charles",2012,1.50833333333333,12
"pat freiermuth",4,0,0,0,0,0,0,1,310,23,0,0,0,74,NA,13.4782608695652,NA,"00-0036894","Pat Freiermuth",2021,9.30588235294118,17
"payne durham",13,0,0,0,0,0,0,8,560,56,0,4,1,56,4,10,4,"00-0039050","Payne Durham",2023,1.7,8
"peyton hendershot",11,0,0,0,0,0,0,4,543,46,0,8,2,35,4,11.804347826087,4,"00-0037569","Peyton Hendershot",2022,3.03846153846154,13
"pharaoh brown",9,0,0,0,0,0,0,5,426,33,0,0,0,72,NA,12.9090909090909,NA,"00-0033439","Pharaoh Brown",2019,0.671428571428571,7
"princeton fant",11,0,1,1,0,0,0,3,222,20,5,17,6,41,11,11.1,2.83333333333333,"00-0038735","Princeton Fant",2024,0,1
"quintin morris",5,0,0,0,0,0,0,0,248,20,0,0,0,53,NA,12.4,NA,"00-0036590","Quintin Morris",2022,2.2,11
"randall telfer",8,0,0,0,0,0,0,2,179,19,0,0,0,21,NA,9.42105263157895,NA,"00-0031533","Randall Telfer",2016,0.48,5
"rhett ellison",10,0,0,0,0,0,0,2,133,22,0,-5,1,14,0,6.04545454545455,-5,"00-0029587","Rhett Ellison",2012,1.03846153846154,13
"richard gordon",4,0,0,0,0,0,0,0,26,5,0,0,0,11,NA,5.2,NA,"00-0028119","Richard Gordon",2011,0.15,8
"rob housler",12,0,0,0,0,0,0,4,629,39,0,29,1,56,38,16.1282051282051,29,"00-0028007","Rob Housler",2011,2.58888888888889,9
"ross dwelley",1,0,0,0,0,0,0,0,50,5,0,0,0,13,NA,10,NA,"00-0034073","Ross Dwelley",2018,1.13333333333333,3
"ryan griffin",11,0,0,0,0,0,0,6,484,29,0,0,0,74,NA,16.6896551724138,NA,"00-0030108","Ryan Griffin",2013,4.49090909090909,11
"ryan izzo",8,0,0,0,0,0,0,3,258,14,0,0,0,60,NA,18.4285714285714,NA,"00-0034439","Ryan Izzo",2019,3.9,6
"ryan malleck",10,0,0,0,0,0,0,2,277,20,0,0,0,71,NA,13.85,NA,"00-0032650","Ryan Malleck",2017,1.3,1
"ryan taylor",10,0,0,0,0,0,0,2,245,27,0,0,0,40,NA,9.07407407407407,NA,"00-0028156","Ryan Taylor",2011,0.74,10
"sam laporta",11,0,0,0,0,0,0,1,600,53,0,0,0,58,NA,11.3207547169811,NA,"00-0039065","Sam LaPorta",2023,14.195,20
"sean culkin",9,0,0,0,0,0,0,0,282,24,0,0,0,25,NA,11.75,NA,"00-0033696","Sean Culkin",2018,1.7,2
"sean mckeon",7,0,0,0,0,0,0,2,235,13,0,0,0,41,NA,18.0769230769231,NA,"00-0036032","Sean McKeon",2020,0,1
"stephen anderson",11,0,0,0,0,0,0,2,460,40,0,0,0,34,NA,11.5,NA,"00-0032725","Stephen Anderson",2016,2.39090909090909,11
"stephen sullivan",5,0,0,0,0,0,0,0,121,11,0,0,0,30,NA,11,NA,"00-0036438","Stephen Sullivan",2020,0,1
"t j hockenson",12,0,0,1,0,0,0,6,707,46,1,4,1,54,4,15.3695652173913,4,"00-0035229","T.J. Hockenson",2019,6.725,12
