"player_id","season","games","completions_pg","attempts_pg","passing_yards_pg","passing_tds_pg","passing_interceptions_pg","sacks_suffered_pg","sack_yards_lost_pg","sack_fumbles_pg","sack_fumbles_lost_pg","passing_air_yards_pg","passing_yards_after_catch_pg","passing_first_downs_pg","passing_epa_pg","passing_cpoe_pg","passing_2pt_conversions_pg","pacr_pg","carries_pg","rushing_yards_pg","rushing_tds_pg","rushing_fumbles_pg","rushing_fumbles_lost_pg","rushing_first_downs_pg","rushing_epa_pg","rushing_2pt_conversions_pg","fumble_recovery_own_pg","fumble_recovery_yards_own_pg","penalties_pg","penalty_yards_pg"
"00-0022942",2025,3,19.3333333333333,30.6666666666667,181.333333333333,1.33333333333333,1,1.66666666666667,-12.3333333333333,0.333333333333333,0,239,90.3333333333333,10,-3.73184518908111,-3.75312834786122,0,0.761478698059001,0.666666666666667,-0.333333333333333,0,0.333333333333333,0,0.333333333333333,-0.573228385997935,0,0.333333333333333,0.666666666666667,0.333333333333333,3.33333333333333
"00-0023459",2025,17,20.2352941176471,31.2352941176471,204,1.41176470588235,0.470588235294118,1.94117647058824,-12.7058823529412,0.294117647058824,0.117647058823529,194,128.941176470588,8.82352941176471,0.0131592216871036,-0.81500966040421,0.0588235294117647,1.26817520652755,1.23529411764706,3.58823529411765,0.0588235294117647,0.0588235294117647,0,0.294117647058824,-0.227015928746147,0,0.117647058823529,0.117647058823529,0.117647058823529,1.23529411764706
"00-0026158",2025,13,19.3076923076923,32,190.692307692308,1.15384615384615,0.769230769230769,1.38461538461538,-9.07692307692308,0.230769230769231,0.230769230769231,234.384615384615,89.6153846153846,8.84615384615385,-3.40601043478542,-0.849984366810394,0.153846153846154,0.886836584697612,1.61538461538462,2.69230769230769,0.0769230769230769,0,0,0.692307692307692,0.54238351710593,0,0,0,0.0769230769230769,0.769230769230769
"00-0026300",2025,3,11.3333333333333,18,124,0.333333333333333,0.666666666666667,0.666666666666667,-4.66666666666667,0,0,104.333333333333,71,7,1.27300329585314,-1.43106522578542,0,1.37341153677092,4,18.3333333333333,0.333333333333333,0.666666666666667,0.333333333333333,2,-1.59977493454547,0,0.666666666666667,1.33333333333333,0,0
"00-0026498",2025,20,22.7,35.8,282.15,2.6,0.45,1.45,-9.85,0.25,0.1,338.8,110.9,14.15,8.65551863901394,1.00504759158845,0,0.883176427225219,1.7,0.8,0,0.15,0.05,0.3,-2.11437344278092,0,0.2,0.35,0.05,0.6
"00-0027973",2025,4,6.25,9.25,73.25,0.25,0.25,2,-13.5,0.25,0.25,87,22.5,4.25,-1.88722345928573,9.60246402181537,0,0.90635104206823,1.25,-0.5,0,0.25,0.25,0.25,-2.88638440674792,0,0.25,0.25,0,0
"00-0028118",2025,6,13.3333333333333,22.3333333333333,129.833333333333,0.833333333333333,0.833333333333333,2.33333333333333,-13.6666666666667,0.166666666666667,0.166666666666667,190.833333333333,55.1666666666667,6.83333333333333,-2.21915179591382,-7.35664316914287,0,0.670969143935074,4.5,23.8333333333333,0.166666666666667,0,0,1.66666666666667,1.08264889539088,0,0,0,0,0
"00-0029263",2025,6,11.5,19.8333333333333,138.5,0.5,0.5,1.66666666666667,-11,0.333333333333333,0,176.333333333333,62.6666666666667,5.33333333333333,-2.61274199820712,-11.1797658633441,0,0.718611536987155,3,17.6666666666667,0,0.166666666666667,0,1,-0.321590978932501,0,0.333333333333333,0.333333333333333,0.166666666666667,1.66666666666667
"00-0029604",2025,10,16.6,26.9,172.1,1,0.5,1.3,-7.9,0.2,0,187,98.3,8.6,-0.0930798277762308,-4.49578235682066,0,1.10548784660399,1.4,0.7,0.1,0.1,0.1,0.5,-0.415403093681865,0,0.1,0.2,0.2,2.3
"00-0030565",2025,15,20.1333333333333,29.8666666666667,201.666666666667,1.26666666666667,1.13333333333333,3.66666666666667,-27,0.2,0.0666666666666667,184.133333333333,114.2,9.93333333333333,-4.86142706992392,1.27970048515567,0.0666666666666667,1.36038766548848,2.73333333333333,7.26666666666667,0,0.0666666666666667,0,0.933333333333333,-0.11953959222592,0,0.2,0.266666666666667,0.0666666666666667,0.866666666666667
