player_id,player_display_name,season,games,overall,round,pick,height,weight,pre_draft_ranking,pre_draft_position_ranking,pre_draft_grade,carries_pg,rushing_yards_pg,rushing_tds_pg,receptions_pg,receiving_yards_pg,receiving_tds_pg,fumble_recovery_own_pg,rushing_fumbles_lost_pg,rushing_fumbles_pg,target_fp_ppr,target_games,college_flag
00-0035320,Caleb Wilson,2020,11,254,7,40,76,240,182,13,59,1,4,0,5.45454545454545,87.7272727272727,0.363636363636364,0,0,0,0,1,1
00-0038564,Cameron Latu,2025,9,101,3,38,76,242,181,14,51,0,0,0,2.77777777777778,35.8888888888889,0.333333333333333,0,0,0,0,10,1
00-0033338,Cethan Carter,2017,8,NA,NA,NA,NA,NA,NA,NA,NA,1,12.5,0,2.125,19.5,0.125,0,0,0,0,6,1
00-0038046,Charlie Kolar,2022,11,128,4,23,79,252,113,7,70,0,0,0,5.27272727272727,65.7272727272727,0.454545454545455,0,0,1,8.9,1,1
00-0036429,Charlie Woerner,2020,5,190,6,11,77,244,NA,NA,NA,0,0,0,1.6,12.4,0.2,0,0,1,1.65,4,1
00-0029432,Chase Ford,2013,7,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.28571428571429,12.5714285714286,0.142857142857143,0,0,0,3.0375,8,1
00-0030049,Chris Gragg,2013,5,222,7,16,75,244,150,8,60,0,0,0,4.4,57.8,0.6,0,0,0,8.15,2,1
00-0035345,Chris Myarick,2021,11,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.5,17,0.125,0,0,0,2.675,4,1
00-0030171,Chris Pantale,2014,6,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3.5,31.5,0.333333333333333,0,0,0,0,1,1
00-0032256,Clive Walford,2015,11,68,3,4,76,251,63,2,80,0,0,0,4,61.4545454545455,0.636363636363636,0,0,0,5.26,15,1
00-0029697,Coby Fleener,2012,12,34,2,2,78,247,30,1,89,0,0,0,2.66666666666667,54,0.833333333333333,0,0,0,5.50769230769231,13,1
00-0036244,Colby Parkinson,2020,12,133,4,27,79,252,117,7,66,0,0,0,4.36363636363636,53.5454545454545,0.0909090909090909,0,0,0,3.6,1,1
00-0037506,Cole Fotheringham,2023,7,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.85714285714286,15.5714285714286,0,0,0,0,1.6,1,1
00-0033315,Cole Hikutini,2017,12,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4.08333333333333,54.6666666666667,0.666666666666667,0,1,1,1.75,2,1
00-0036290,Cole Kmet,2020,9,43,2,11,78,262,45,1,85,0,0,0,4.55555555555556,53.5555555555556,0.666666666666667,0,0,1,4.1625,16,1
00-0037078,Cole Turner,2022,11,149,5,6,79,249,202,12,54,0,0,0,5.63636363636364,61.5454545454545,0.909090909090909,0,1,1,0.614285714285714,7,1
00-0033720,Colin Thompson,2020,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,14.3333333333333,0.333333333333333,0,0,0,3.85,2,1
00-0028295,Collin Franklin,2011,12,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4.5,44.1666666666667,0.25,0,0,0,0,1,1
00-0040126,Colston Loveland,2025,10,10,1,10,78,248,7,2,92,1,-2,0,5.6,58.2,0.5,0,1,1,11.0222222222222,18,1
00-0031732,Connor Hamlett,2016,12,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2.66666666666667,28.5,0.166666666666667,0,0,0,8.7,1,1
00-0029534,Cooper Helfet,2014,11,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3.90909090909091,35.9090909090909,0.363636363636364,0,0,0,4.72222222222222,9,1
00-0028958,Cory Harkey,2012,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,10,0,0,0,0,0.775,4,1
00-0030992,Crockett Gillmore,2014,11,99,3,35,78,260,165,7,54,0,0,0,3.90909090909091,48.4545454545455,0.181818181818182,0,0,0,3.55454545454545,11,1
00-0028079,D.J. Williams,2011,12,141,5,10,74,245,145,7,62,0,0,0,4.08333333333333,49.0833333333333,0.333333333333333,0,0,0,0.55,6,1
00-0034351,Dallas Goedert,2018,1,49,2,17,77,256,36,2,86,0,0,0,5,96,1,0,0,0,5.90588235294118,17,1
00-0039613,Dallin Holker,2024,12,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5.33333333333333,63.9166666666667,0.5,0,1,1,1.7,3,1
00-0036225,Dalton Keene,2020,8,101,3,37,76,253,197,13,49,3.66666666666667,11,0,2.71428571428571,32.8571428571429,0.571428571428571,0,1,1,1.53333333333333,3,1
00-0038933,Dalton Kincaid,2023,12,25,1,26,76,246,14,1,91,0,0,0,5.83333333333333,74.1666666666667,0.666666666666667,0,0,0,9.70555555555556,18,1
00-0034383,Dalton Schultz,2018,10,137,4,37,77,244,181,12,56,0,0,0,2,20.4,0.3,0,1,1,2.66,10,1
00-0038115,Daniel Bellinger,2022,10,112,4,7,77,253,98,5,71,1,2,0,2.9,34.4,0.2,0,0,0,6.62307692307692,13,1
00-0035428,Daniel Helm,2021,12,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,22.5454545454545,0.181818181818182,0,0,0,0.3,3,1
00-0029183,Danny Noble,2013,4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,18.75,0.5,0,0,0,3.575,4,1
00-0038558,Darnell Washington,2023,11,93,3,30,79,264,39,4,85,0,0,0,2.36363636363636,37.9090909090909,0.181818181818182,0,0,0,1.45555555555556,9,1
00-0033258,Darrell Daniels,2017,10,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.7,30.7,0.3,0,0,0,0.8,7,1
00-0032634,David Grinnage,2018,9,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2.55555555555556,30.2222222222222,0.333333333333333,0,0,0,4.03333333333333,3,1
00-0039648,David Martin-Robinson,2024,11,NA,NA,NA,NA,NA,NA,NA,NA,2.25,3.25,0.25,4,53.7,0.4,0,1,1,0.4,4,1
00-0033885,David Njoku,2017,11,29,1,29,76,246,14,2,91,0,0,0,3.45454545454545,59.4545454545455,0.636363636363636,0,0,0,5.91875,16,1
