"player_id","season","player_display_name","games","sacks_suffered_pg","sack_yards_lost_pg","sack_fumbles_pg","sack_fumbles_lost_pg","carries_pg","rushing_yards_pg","rushing_tds_pg","rushing_fumbles_pg","rushing_fumbles_lost_pg","rushing_first_downs_pg","rushing_epa_pg","rushing_2pt_conversions_pg","receptions_pg","targets_pg","receiving_yards_pg","receiving_tds_pg","receiving_fumbles_pg","receiving_fumbles_lost_pg","receiving_air_yards_pg","receiving_yards_after_catch_pg","receiving_first_downs_pg","receiving_epa_pg","receiving_2pt_conversions_pg","racr_pg","target_share_pg","air_yards_share_pg","wopr_pg","fumble_recovery_own_pg","fumble_recovery_yards_own_pg","fumble_recovery_tds_pg","penalties_pg","penalty_yards_pg","target_season","target_fp_ppr","target_games"
"00-0004052",2004,"Stephen Davis",2,0,0,0,0,12,46,0,0,0,2.5,-0.94194068739307,0,1,0,16,0,0,0,0,0,1,1.0645942594856,0,0,NA,NA,NA,0,0,0,0,0,2005,10.4692307692308,13
"00-0004052",2005,"Stephen Davis",13,0,0,0,0,13.7692307692308,42,0.923076923076923,0.153846153846154,0,2.46153846153846,-1.58900974063451,0,0.384615384615385,0,3.46153846153846,0,0,0,0,0,0.230769230769231,0.817304623473319,0,0,NA,NA,NA,0,0,0,0,0,2006,3.05,14
"00-0004304",2004,"Corey Dillon",15,0,0,0,0,23,109,0.8,0.266666666666667,0.2,5.53333333333333,0.746250919817675,0.0666666666666667,1,0,6.86666666666667,0.0666666666666667,0.0666666666666667,0.0666666666666667,0,0,0.2,-0.0143079955402452,0,0,0,NA,NA,0.0666666666666667,0.0666666666666667,0,0.0666666666666667,0.666666666666667,2005,17.2181818181818,11
"00-0004304",2005,"Corey Dillon",11,0,0,0,0,19,66.6363636363636,1.09090909090909,0.0909090909090909,0.0909090909090909,4.54545454545455,-1.04768617006431,0,2,0,16.4545454545455,0.0909090909090909,0,0,0,0,0.727272727272727,1.2544943544417,0,0,NA,NA,NA,0,0,0,0.0909090909090909,0.909090909090909,2006,11.55625,16
"00-0004640",2004,"Warrick Dunn",16,0,0,0,0,16.5625,69.125,0.5625,0.1875,0.125,3,-0.861308815955574,0,1.8125,0,18.3125,0,0,0,0,0,0.5625,1.10354006854181,0,0,NA,NA,NA,0.0625,0.0625,0,0,0,2005,13.4125,16
"00-0004640",2005,"Warrick Dunn",16,0,0,0,0,17.5,88.5,0.1875,0.0625,0,4.1875,0.734765079504468,0,1.8125,0,13.75,0.0625,0.125,0.0625,0,0,0.5625,0.409490571023586,0,0,NA,NA,NA,0.125,0.125,0,0.0625,0.3125,2006,11.4375,16
"00-0004640",2006,"Warrick Dunn",16,0,0,0,0,17.875,71.25,0.25,0.0625,0,3,-2.12793635546934,0,1.375,0,10.625,0.0625,0,0,0,9.75,0.625,0.603439771556925,0,0,NA,0,NA,0.125,0.125,0,0.0625,0.9375,2007,9.5375,16
"00-0004640",2007,"Warrick Dunn",16,0,0,0,0,14.25,44.875,0.25,0.125,0.125,2.1875,-3.54370716548589,0,2.3125,0,14.875,0,0,0,0,14.875,0.3125,0.0236627557315001,0,0,0,0,0,0.125,0.125,0,0.125,1.25,2008,11.3733333333333,15
"00-0004768",2004,"Marc Edwards",6,0,0,0,0,0,0,0,0,0,0,NA,0,1.16666666666667,0,6.83333333333333,0,0,0,0,0,0.333333333333333,0.426866563405687,0,0,NA,NA,NA,0,0,0,0.166666666666667,0.833333333333333,2005,3.575,8
"00-0005091",2004,"Kevin Faulk",11,0,0,0,0,4.90909090909091,23.1818181818182,0.181818181818182,0,0,1.36363636363636,0.520465514406779,0,2.36363636363636,0,22.5454545454545,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0,1.27272727272727,1.16811096756584,0,0,0,NA,NA,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0.909090909090909,2005,8.175,8
