"player_id","season","player_display_name","games","sacks_suffered_pg","sack_yards_lost_pg","sack_fumbles_pg","sack_fumbles_lost_pg","carries_pg","rushing_yards_pg","rushing_tds_pg","rushing_fumbles_pg","rushing_fumbles_lost_pg","rushing_first_downs_pg","rushing_epa_pg","rushing_2pt_conversions_pg","receptions_pg","targets_pg","receiving_yards_pg","receiving_tds_pg","receiving_fumbles_pg","receiving_fumbles_lost_pg","receiving_air_yards_pg","receiving_yards_after_catch_pg","receiving_first_downs_pg","receiving_epa_pg","receiving_2pt_conversions_pg","racr_pg","target_share_pg","air_yards_share_pg","wopr_pg","fumble_recovery_own_pg","fumble_recovery_yards_own_pg","fumble_recovery_tds_pg","penalties_pg","penalty_yards_pg","target_season","target_fp_ppr","target_games"
"00-0003035",2004,"Desmond Clark",14,0,0,0,0,0,0,0,0,0,0,NA,0,1.71428571428571,0,20.1428571428571,0.0714285714285714,0.0714285714285714,0.0714285714285714,0,0,1,1.09457112421782,0,0,NA,NA,NA,0,0,0,0.214285714285714,1.07142857142857,2005,4.20714285714286,14
"00-0003035",2005,"Desmond Clark",14,0,0,0,0,0,0,0,0,0,0,NA,0,1.71428571428571,0,16.3571428571429,0.142857142857143,0,0,0,0,1.14285714285714,1.78499502747068,0,0,NA,NA,NA,0,0,0,0.285714285714286,1.78571428571429,2006,10.2571428571429,14
"00-0003035",2006,"Desmond Clark",14,0,0,0,0,0,0,0,0,0,0,NA,0,3.21428571428571,0,44.7142857142857,0.428571428571429,0,0,0,15.5714285714286,2.5,4.55633390618148,0,0,NA,0,NA,0,0,0,0.214285714285714,2.14285714285714,2007,8.16666666666667,15
"00-0003035",2007,"Desmond Clark",15,0,0,0,0,0,0,0,0,0,0,NA,0,2.93333333333333,0,36.3333333333333,0.266666666666667,0.0666666666666667,0,0,15.6,1.6,2.85439706218119,0,0,NA,0,NA,0,0,0,0.333333333333333,1.93333333333333,2008,5.23125,16
"00-0003035",2008,"Desmond Clark",16,0,0,0,0,0,0,0,0,0,0,NA,0,2.5625,0.0625,22.9375,0.0625,0.0625,0,0,12.75,1.125,1.55783129680885,0,0,1,0,1.5,0,0,0,0,0,2009,4.55,10
"00-0003035",2009,"Desmond Clark",10,0,0,0,0,0,0,0,0,0,0,NA,0,1.9,3.4,14.5,0.2,0,0,18.6,4.6,0.7,-0.697010689650778,0,0.93478005589675,0.0936204294740446,0.0533787656343053,0.17779578015508,0.1,0.1,0,0,0,2010,1.1,2
"00-0003103",2004,"Cameron Cleeland",8,0,0,0,0,0.125,-0.25,0,0,0,0,-2.1678013601515,0,0.875,0,7.125,0,0,0,0,0,0.25,0.667071097705046,0,0,NA,NA,NA,0,0,0,0.125,0.625,2005,3.175,4
"00-0003400",2004,"Ernie Conwell",9,0,0,0,0,0,0,0,0,0,0,NA,0,1.11111111111111,0,11.3333333333333,0.111111111111111,0,0,0,0,0.444444444444444,0.981878054852132,0,0,NA,NA,NA,0.111111111111111,0.111111111111111,0,0.333333333333333,1.66666666666667,2005,5.58333333333333,6
"00-0003400",2005,"Ernie Conwell",6,0,0,0,0,0,0,0,0,0,0,NA,0,2.16666666666667,0,27.5,0.166666666666667,0.166666666666667,0.166666666666667,0,0,1.66666666666667,4.14378332036722,0,0,NA,NA,NA,0,0,0,0.333333333333333,2.5,2006,4.925,4
"00-0004112",2004,"James Dearth",3,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,2005,0,2
