"player_key","athlete_name","season","position","games","overall","round","pick","height","weight","pre_draft_ranking","pre_draft_position_ranking","pre_draft_grade","fumbles_rec_pg","fumbles_lost_pg","fumbles_fum_pg","interceptions_td_pg","interceptions_yds_pg","interceptions_int_pg","receiving_td_pg","receiving_yds_pg","receiving_rec_pg","rushing_td_pg","rushing_yds_pg","rushing_car_pg","receiving_long","rushing_long","receiving_avg","rushing_avg","nfl_player_id","nfl_name","nfl_rookie_season","avg_weekly_ppr","n_weeks"
"brady rhoads","Brady Rhoads",2025,"TE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brady wagner","Brady Wagner",2025,"TE",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,1.5,NA,NA,NA,9,NA,6,NA,NA,NA,NA,NA,NA
"braiden staten","Braiden Staten",2025,"TE",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,13,1.5,NA,NA,NA,18,NA,8.66666666666667,NA,NA,NA,NA,NA,NA
"brandon frazier","Brandon Frazier",2025,"TE",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16.1666666666667,2.16666666666667,NA,NA,NA,19,NA,7.46153846153846,NA,NA,NA,NA,NA,NA
"brandon lanier","Brandon Lanier",2025,"TE",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,18.7777777777778,1.44444444444444,NA,NA,NA,49,NA,13,NA,NA,NA,NA,NA,NA
"brandon london","Brandon London",2025,"TE",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,17.3333333333333,1,NA,NA,NA,50,NA,17.3333333333333,NA,NA,NA,NA,NA,NA
"brandon young jr","Brandon Young Jr.",2025,"TE",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,5,1,NA,NA,NA,8,NA,5,NA,NA,NA,NA,NA,NA
"brant monistere","Brant Monistere",2025,"TE",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brayden blackmon","Brayden Blackmon",2025,"TE",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.222222222222222,23.6666666666667,3,NA,NA,NA,22,NA,7.88888888888889,NA,NA,NA,NA,NA,NA
"brayden bockler","Brayden Bockler",2025,"TE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,1,NA,NA,NA,5,NA,5,NA,NA,NA,NA,NA,NA
"brayden delahoyde","Brayden Delahoyde",2025,"TE",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,1,14.5,1,NA,NA,NA,25,NA,14.5,NA,NA,NA,NA,NA,NA
"brayden johnson","Brayden Johnson",2025,"TE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brayden loftin","Brayden Loftin",2025,"TE",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9.16666666666667,1,NA,NA,NA,18,NA,9.16666666666667,NA,NA,NA,NA,NA,NA
"brayden welch","Brayden Welch",2025,"TE",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,21.5,1,NA,NA,NA,25,NA,21.5,NA,NA,NA,NA,NA,NA
"brec long","Brec Long",2025,"TE",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,1,NA,NA,NA,8,NA,5,NA,NA,NA,NA,NA,NA
"brendan doyle","Brendan Doyle",2025,"TE",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA
"brennan parachek","Brennan Parachek",2025,"TE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brennan wooten","Brennan Wooten",2025,"TE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brett norfleet","Brett Norfleet",2025,"TE",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.454545454545455,23.0909090909091,2.81818181818182,NA,NA,NA,27,NA,8.19354838709677,NA,NA,NA,NA,NA,NA
"brett seither","Brett Seither",2025,"TE",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,30.2857142857143,1.57142857142857,NA,NA,NA,30,NA,19.2727272727273,NA,NA,NA,NA,NA,NA
"brian courtney","Brian Courtney",2025,"TE",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.416666666666667,31.3333333333333,2.33333333333333,0.333333333333333,11.6666666666667,2.33333333333333,45,15,13.4285714285714,5,NA,NA,NA,NA,NA
"brian henry","Brian Henry",2025,"TE",10,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,0.4,29.9,2.5,NA,NA,NA,42,NA,11.96,NA,NA,NA,NA,NA,NA
"brian shane","Brian Shane",2025,"TE",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,18.6666666666667,1.83333333333333,NA,NA,NA,20,NA,10.1818181818182,NA,NA,NA,NA,NA,NA
"briggs hughston","Briggs Hughston",2025,"TE",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,18.75,1.75,NA,NA,NA,23,NA,10.7142857142857,NA,NA,NA,NA,NA,NA
"broc lane","Broc Lane",2025,"TE",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.285714285714286,31.1428571428571,2.71428571428571,NA,NA,NA,52,NA,11.4736842105263,NA,NA,NA,NA,NA,NA
"brock chappell","Brock Chappell",2025,"TE",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143,15.4285714285714,1.71428571428571,NA,NA,NA,35,NA,9,NA,NA,NA,NA,NA,NA
"brock lium","Brock Lium",2025,"TE",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,1,NA,NA,NA,8,NA,5,NA,NA,NA,NA,NA,NA
