player_key,nfl_player_id,nfl_name,nfl_rookie_season,cfb_projected_ppr,avg_weekly_ppr,n_weeks
jaxson dart,00-0040691,Jaxson Dart,2025,12.680414040636517,17.2557142857143,14
jayden daniels,00-0039910,Jayden Daniels,2024,16.62381307059407,21.41,20
jeff driskel,00-0032436,Jeff Driskel,2018,6.976990042129204,10.64,8
jeff tuel,00-0030024,Jeff Tuel,2013,4.95231808920221,6.03,2
jimmy garoppolo,00-0031345,Jimmy Garoppolo,2014,5.200554623125608,2.436,5
joe burrow,00-0036442,Joe Burrow,2020,15.219069048492115,17.372,10
john wolford,00-0034899,John Wolford,2020,5.710020076310728,7.1,2
johnny manziel,00-0031409,Johnny Manziel,2014,10.700188164877014,2.975,4
jordan love,00-0036264,Jordan Love,2021,8.594293769630427,3.52333333333333,6
josh allen,00-0034857,Josh Allen,2018,13.461364806674391,17.2383333333333,12
josh johnson,00-0026300,Josh Johnson,2011,5.07799456843062,1.61555555555556,9
josh rosen,00-0034343,Josh Rosen,2018,10.294346434121039,8.06571428571429,14
joshua dobbs,00-0033949,Joshua Dobbs,2018,2.587426404561861,0.164,5
justin fields,00-0036945,Justin Fields,2021,13.552693711344373,10.5666666666667,12
justin herbert,00-0036355,Justin Herbert,2020,14.370493164192512,22.1893333333333,15
kedon slovis,00-0039577,Kedon Slovis,2025,3.500733745303549,-0.04,2
kellen mond,00-0036946,Kellen Mond,2021,5.011336312808238,0.2,1
kellen moore,00-0029234,Kellen Moore,2015,7.428202196035196,11.02,3
kenny pickett,00-0038102,Kenny Pickett,2022,11.35332794569865,11.5276923076923,13
kevin hogan,00-0032784,Kevin Hogan,2016,5.366338818644911,5.55333333333333,3
kirk cousins,00-0029604,Kirk Cousins,2012,6.864613899364647,8.52,4
kurt benkert,00-0034131,Kurt Benkert,2021,3.594548546992057,-0.1,1
kyle allen,00-0034577,Kyle Allen,2018,6.106216110580628,13.27,2
kyle lauletta,00-0034369,Kyle Lauletta,2018,3.844724014588991,-2.2,1
kyle trask,00-0036928,Kyle Trask,2022,5.641918367900421,0.92,1
kyler murray,00-0035228,Kyler Murray,2019,15.889790067799856,17.83,16
lamar jackson,00-0034796,Lamar Jackson,2018,10.648647697511759,10.2764705882353,17
landry jones,00-0030524,Landry Jones,2015,5.376191777689174,2.5575,8
logan woodside,00-0034438,Logan Woodside,2020,5.43402842033603,0.256,5
luke falk,00-0034412,Luke Falk,2019,4.031369343933889,2.88,3
mac jones,00-0036972,Mac Jones,2021,12.006632184701852,13.3344444444444,18
malik willis,00-0038128,Malik Willis,2022,6.034877490842945,2.76285714285714,7
marcus mariota,00-0032268,Marcus Mariota,2015,16.57222753738885,17.585,12
mason rudolph,00-0034771,Mason Rudolph,2019,8.17285741026778,10.88,10
matt barkley,00-0030533,Matt Barkley,2013,5.278300232989988,0.6,3
matt simms,00-0029151,Matt Simms,2013,4.509438110248585,3.31333333333333,3
max brosmer,00-0040494,Max Brosmer,2025,4.323103514216501,0.602857142857143,7
michael penix jr,00-0039917,Michael Penix Jr.,2024,10.425038414158536,8.82,5
mike glennon,00-0030520,Mike Glennon,2013,6.515654848168088,12.1553846153846,13
mike white,00-0034401,Mike White,2021,6.716900216829016,11.005,4
nate sudfeld,00-0032792,Nate Sudfeld,2017,5.775351618939784,3.58,2
nathan peterman,00-0033958,Nathan Peterman,2017,4.001600472338567,1.7,5
nick foles,00-0029567,Nick Foles,2012,6.475334339484244,12.3085714285714,7
nick mullens,00-0033319,Nick Mullens,2018,7.078480831817979,15.435,8
patrick mahomes,00-0033873,Patrick Mahomes,2017,11.353201661654362,10.36,1
paxton lynch,00-0033108,Paxton Lynch,2016,10.451253090473884,9.46,3
quinn ewers,00-0040234,Quinn Ewers,2025,5.259627012801481,8.295,4
riley leonard,00-0040206,Riley Leonard,2025,4.009899941436805,6.2,5
robert griffin iii,00-0029665,Robert Griffin III,2012,16.494811405607805,20.435,16
russell wilson,00-0029263,Russell Wilson,2012,8.773620912096339,18.2888888888889,18
ryan finley,00-0035652,Ryan Finley,2019,8.149453486966868,8.22,3
ryan griffin,00-0029857,Ryan Griffin,2019,3.2832698485046974,0.31,2
ryan lindley,00-0029531,Ryan Lindley,2012,3.7237240309803297,2.13,6
ryan mallett,00-0028012,Ryan Mallett,2012,5.423556159698772,-0.74,3
ryan nassib,00-0030586,Ryan Nassib,2014,5.0985610683645755,1.05,2
ryan tannehill,00-0029701,Ryan Tannehill,2012,11.492068869504054,11.42875,16
