"player_key","athlete_name","season","position","games","overall","round","pick","height","weight","pre_draft_ranking","pre_draft_position_ranking","pre_draft_grade","fumbles_rec_pg","fumbles_lost_pg","fumbles_fum_pg","interceptions_td_pg","interceptions_yds_pg","interceptions_int_pg","rushing_long","rushing_td_pg","rushing_yds_pg","rushing_car_pg","passing_int_pg","passing_td_pg","passing_yds_pg","passing_completions_pg","passing_attempts_pg","passing_avg","rushing_avg","passing_qbr","athlete_id","nfl_player_id","nfl_name","nfl_rookie_season","avg_weekly_ppr","n_weeks"
"brett hundley","Brett Hundley",2014,"QB",12,147,5,11,75,226,142,6,59,NA,NA,NA,NA,NA,NA,29,0.666666666666667,45.6666666666667,12.3333333333333,0.416666666666667,1.75,251.583333333333,21.5833333333333,30.6666666666667,8.20380434782609,3.7027027027027,65.45,511982,"00-0031589","Brett Hundley",2016,-0.024,5
"brett rypien","Brett Rypien",2018,"QB",13,NA,NA,NA,NA,NA,NA,NA,NA,0,0.75,1.75,NA,NA,NA,15,0,1.76923076923077,6.38461538461539,0.538461538461538,2.30769230769231,285,23.1538461538462,34.3846153846154,8.28859060402685,0.27710843373494,95.7,3722362,"00-0034955","Brett Rypien",2020,5.65,2
"brock osweiler","Brock Osweiler",2011,"QB",12,57,2,25,79,242,42,4,87,NA,NA,NA,NA,NA,NA,25,0.25,10.6666666666667,6.25,1,2,303.416666666667,24.6666666666667,39.0833333333333,7.76332622601279,1.70666666666667,65.3083333333333,480396,"00-0029682","Brock Osweiler",2012,-0.164,5
"brock purdy","Brock Purdy",2021,"QB",12,262,7,41,73,212,361,14,31,0,0.5,1.25,NA,NA,NA,23,0.0833333333333333,18.6666666666667,6.66666666666667,0.583333333333333,1.5,248.666666666667,22.4166666666667,30.6666666666667,8.10869565217391,2.8,68.2666666666667,4361741,"00-0037834","Brock Purdy",2022,12.4516666666667,12
"bryce perkins","Bryce Perkins",2019,"QB",12,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1.66666666666667,NA,NA,NA,67,0.916666666666667,57.25,16.3333333333333,0.75,1.33333333333333,245.75,22.0833333333333,34.4166666666667,7.14043583535109,3.50510204081633,56.4,3675812,"00-0035939","Bryce Perkins",2022,3.088,5
"bryce petty","Bryce Petty",2014,"QB",10,103,4,4,75,230,81,3,73,NA,NA,NA,NA,NA,NA,21,0.4,13.1,7,0.5,2.5,289.3,20,33.7,8.58456973293769,1.87142857142857,64.35,480746,"00-0031568","Bryce Petty",2016,5.37666666666667,6
"bryce young","Bryce Young",2022,"QB",11,1,1,1,70,204,1,1,96,0,0,1,NA,NA,NA,63,0.363636363636364,17.7272727272727,4.18181818181818,0.454545454545455,2.45454545454545,273.363636363636,20.9090909090909,32.6363636363636,8.37604456824513,4.23913043478261,80.2181818181818,4685720,"00-0039150","Bryce Young",2023,9.77375,16
"c j beathard","C.J. Beathard",2016,"QB",12,104,3,40,75,219,156,9,59,0,0,1,NA,NA,NA,15,0.166666666666667,-2,6.58333333333333,0.583333333333333,1.41666666666667,156.166666666667,13.5833333333333,23.1666666666667,6.7410071942446,-0.30379746835443,45.2583333333333,535844,"00-0033936","C.J. Beathard",2017,14.8,6
"c j stroud","C.J. Stroud",2022,"QB",12,2,1,2,75,214,5,2,94,0,0.5,1,NA,NA,NA,44,0,6.72727272727273,3.18181818181818,0.5,3.08333333333333,278.333333333333,19.5833333333333,29.5833333333333,9.40845070422535,2.11428571428571,83.7583333333333,4432577,"00-0039163","C.J. Stroud",2023,18.0576470588235,17
"caleb williams","Caleb Williams",2023,"QB",11,1,1,1,73,214,1,1,97,0,0.428571428571429,1.28571428571429,NA,NA,NA,46,0.916666666666667,9.58333333333333,8.25,0.416666666666667,2.5,302.75,22.1666666666667,32.3333333333333,9.36340206185567,1.16161616161616,79.9416666666667,4431611,"00-0039918","Caleb Williams",2024,14.9729411764706,17
"cardale jones","Cardale Jones",2015,"QB",10,139,4,41,77,253,235,13,47,NA,NA,NA,NA,NA,NA,38,0.2,19.3,6.4,0.5,0.8,146,11,17.6,8.29545454545454,3.015625,49.79,534294,"00-0033098","Cardale Jones",2016,1.74,1
"carson wentz","Carson Wentz",2014,"QB",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,38,8,0,0,204,18,28,7.28571428571429,4.75,0,515607,"00-0032950","Carson Wentz",2016,13.37375,16
"case keenum","Case Keenum",2011,"QB",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,0.230769230769231,1.92307692307692,3.84615384615385,0.384615384615385,3.46153846153846,392.230769230769,29.4615384615385,41.0769230769231,9.54868913857678,0.5,78.5384615384615,191981,"00-0028986","Case Keenum",2013,12.95,8
"chad kelly","Chad Kelly",2016,"QB",9,253,7,35,74,228,328,11,32,0,1,1.66666666666667,NA,NA,NA,41,0.555555555555556,36.8888888888889,9,0.888888888888889,2.11111111111111,306.444444444444,22.7777777777778,36.4444444444444,8.40853658536586,4.09876543209876,71.8222222222222,534580,"00-0033597","Chad Kelly",2018,-0.1,1
