player_key,nfl_player_id,nfl_name,nfl_rookie_season,cfb_projected_ppr,avg_weekly_ppr,n_weeks
dion sims,00-0030422,Dion Sims,2013,3.3290414843819014,2.17142857142857,7
dominique jones,00-0028994,Dominique Jones,2012,1.038932947890688,0.9,2
drake dabney,00-0040628,Drake Dabney,2025,1.441598291686513,1.3,1
drew sample,00-0035631,Drew Sample,2019,2.9118329275305794,1.6,5
durham smythe,00-0034798,Durham Smythe,2018,2.749674094521588,1.375,8
dwayne allen,00-0029689,Dwayne Allen,2012,5.965203423621445,7.79375,16
e j bibbs,00-0031968,E.J. Bibbs,2015,2.1164114844226765,0.85,2
elijah arroyo,00-0040739,Elijah Arroyo,2025,4.740718836839599,2.83846153846154,13
emanuel byrd,00-0033514,Emanuel Byrd,2017,2.1134393306538377,5.1,1
eric ebron,00-0031387,Eric Ebron,2014,7.496863434539682,4.68461538461538,13
eric tomlinson,00-0031690,Eric Tomlinson,2016,1.4087283710686662,0.0,1
erick all,00-0039814,Erick All,2024,3.6700818264534267,4.475,8
ethan wolf,00-0034672,Ethan Wolf,2021,2.208804835397434,2.8,1
evan baylis,00-0033763,Evan Baylis,2017,1.3925002046873942,0.0,1
evan engram,00-0033881,Evan Engram,2017,8.759613615731872,11.5733333333333,15
evan rodriguez,00-0029276,Evan Rodriguez,2012,2.7960238839182705,0.871428571428571,7
foster moreau,00-0034981,Foster Moreau,2019,3.8774377510263993,6.21818181818182,11
gabe holmes,00-0031884,Gabe Holmes,2017,1.5662578452753955,0.0,1
garrett celek,00-0028903,Garrett Celek,2012,1.526027985405401,1.82,5
garrett griffin,00-0033095,Garrett Griffin,2017,1.6236554721058893,0.7,2
gavin escobar,00-0030544,Gavin Escobar,2013,4.691209390825223,3.82222222222222,9
geoff swaim,00-0032141,Geoff Swaim,2015,1.5065122111545628,0.5,2
george kittle,00-0033288,George Kittle,2017,4.1511582558724465,7.1,15
gerald christian,00-0032190,Gerald Christian,2016,2.353635049993902,2.4,1
gerald everett,00-0033895,Gerald Everett,2017,4.288325901013493,3.54,15
giovanni ricci,00-0035956,Giovanni Ricci,2021,1.7883632877805686,0.0,8
grant calcaterra,00-0037086,Grant Calcaterra,2022,2.6606449916714636,2.18333333333333,6
greg dulcich,00-0037252,Greg Dulcich,2022,5.52897721320726,8.61,10
gunnar helm,00-0040584,Gunnar Helm,2025,3.825300051080517,5.73125,16
hale hentges,00-0035025,Hale Hentges,2019,2.2838593342109235,4.86,5
harrison bryant,00-0036232,Harrison Bryant,2020,4.974081134421796,4.75384615384615,13
hayden hurst,00-0034830,Hayden Hurst,2018,6.187938016529323,3.53,10
hayden rucci,00-0039489,Hayden Rucci,2025,1.2035601795574713,0.0,1
henry krieger coble,00-0032523,Henry Krieger-Coble,2016,2.1506414389992634,2.3,1
henry pearson,00-0038468,Henry Pearson,2023,1.5757270584285636,0.0,1
hunter bryant,00-0036008,Hunter Bryant,2020,2.602470988177832,1.8,3
hunter henry,00-0033090,Hunter Henry,2016,6.981325976938341,9.98461538461538,13
hunter long,00-0037004,Hunter Long,2021,4.43409830508818,0.6,3
ian thomas,00-0034365,Ian Thomas,2018,4.5972462950960615,8.13,10
isaac nauta,00-0035539,Isaac Nauta,2019,2.6611370884504546,1.65,2
isaiah likely,00-0037838,Isaiah Likely,2022,4.794637419276237,6.52142857142857,14
j p holtz,00-0032986,J.P. Holtz,2019,1.8401114804668453,2.0125,8
ja tavion sanders,00-0039356,Ja'Tavion Sanders,2024,5.072579088779332,4.88,15
jace amaro,00-0031042,Jace Amaro,2014,6.3773912524766265,6.03571428571429,14
jace sternberger,00-0035671,Jace Sternberger,2019,4.274462042063375,2.1,5
jack doyle,00-0030181,Jack Doyle,2013,1.874421170104176,1.22857142857143,7
jack stoll,00-0036741,Jack Stoll,2021,1.31635743911272,0.885714285714286,7
jack westover,00-0039305,Jack Westover,2025,1.95433611057451,0.56,5
jackson hawes,00-0040194,Jackson Hawes,2025,3.261441245912911,3.76428571428571,14
jacob hollister,00-0033387,Jacob Hollister,2017,1.7915290195316391,0.692857142857143,14
jaheim bell,00-0039420,Jaheim Bell,2024,2.771074252921297,1.0,4
jake butt,00-0033564,Jake Butt,2018,4.587097695281997,5.5,3
jake byrne,00-0029175,Jake Byrne,2013,1.0646018479961519,0.0,1
jake ferguson,00-0038041,Jake Ferguson,2022,3.2713723161678265,4.4,12
jake stoneburner,00-0030272,Jake Stoneburner,2013,1.4176028929823448,0.0,3
jake tonges,00-0037112,Jake Tonges,2022,1.4883216921030047,0.0,1
james hanna,00-0029634,James Hanna,2012,2.5759639606810443,1.84444444444444,9
james mitchell,00-0037282,James Mitchell,2022,2.67539385316289,3.5375,8
jared pinkney,00-0035787,Jared Pinkney,2022,1.5320790099524315,0.0,1
jared wiley,00-0039824,Jared Wiley,2024,2.761927428928733,1.7,1
jason croom,00-0033627,Jason Croom,2018,1.8501195812181102,3.32666666666667,15
jeff heuerman,00-0032227,Jeff Heuerman,2016,2.7855488596792726,3.85,6
jelani woods,00-0037755,Jelani Woods,2022,4.596386444459386,6.18333333333333,12
jerell adams,00-0032429,Jerell Adams,2016,3.193978716401039,3.42,10
jeremy ruckert,00-0037805,Jeremy Ruckert,2022,2.430038470729755,0.9,2
jeremy sprinkle,00-0033528,Jeremy Sprinkle,2017,2.9877314125125536,3.1,3
jesse james,00-0032135,Jesse James,2015,3.00540409845538,4.13333333333333,6
john bates,00-0036628,John Bates,2021,2.9165300001081014,4.24166666666667,12
john fitzpatrick,00-0037306,John FitzPatrick,2023,1.9068835725653808,0.733333333333333,3
johnny mundt,00-0033246,Johnny Mundt,2018,1.6695423458376613,0.75,2
jonnu smith,00-0033858,Jonnu Smith,2017,2.3019391837667014,3.1625,16
jordan leggett,00-0033953,Jordan Leggett,2018,3.980880772158382,2.41538461538462,13
jordan reed,00-0030472,Jordan Reed,2013,4.361646094397126,12.7444444444444,9
jordan thompson,00-0030647,Jordan Thompson,2014,1.2311521015963554,0.0,1
josh oliver,00-0035249,Josh Oliver,2019,3.507127825612144,1.5,3
josh whyle,00-0038589,Josh Whyle,2023,3.374596053967037,2.71111111111111,9
josiah deguara,00-0036332,Josiah Deguara,2020,2.6790485978653025,2.2,1
julian hill,00-0038720,Julian Hill,2023,1.9091068229084733,0.88,10
justice cunningham,00-0030129,Justice Cunningham,2013,1.9077840954376606,1.4,1
kaden smith,00-0034988,Kaden Smith,2019,5.047679309296388,10.8285714285714,7
kahale warring,00-0035660,Kahale Warring,2020,2.8379693198429314,1.625,4
keleki latu,00-0040363,Keleki Latu,2025,2.052998952145438,2.5,3
kendall blanton,00-0035603,Kendall Blanton,2021,1.8407110667518645,4.02857142857143,7
kenny yeboah,00-0036510,Kenny Yeboah,2021,3.035018567117344,1.86666666666667,3
kevin rader,00-0034193,Kevin Rader,2020,3.1787134756915227,0.0,1
ko kieft,00-0037311,Ko Kieft,2022,1.611341987297356,1.5,14
konrad reuland,00-0028238,Konrad Reuland,2012,1.8108811252027341,1.75454545454545,11
kyle pitts,00-0036970,Kyle Pitts,2021,8.828514766502355,10.3882352941176,17
kyle rudolph,00-0027981,Kyle Rudolph,2011,5.93412785543627,4.92142857142857,14
kylen granson,00-0036876,Kylen Granson,2021,2.8329599509158094,2.16,10
ladarius green,00-0029275,Ladarius Green,2012,4.282289177802157,4.8,2
lance kendricks,00-0027985,Lance Kendricks,2011,5.0816713582876964,4.02666666666667,15
lee smith,00-0028097,Lee Smith,2011,2.79664426500075,1.275,4
levine toilolo,00-0030443,Levine Toilolo,2013,3.031501007208389,2.85,10
lucas krull,00-0037539,Lucas Krull,2023,2.2976015567221966,3.35714285714286,7
luke farrell,00-0036887,Luke Farrell,2021,2.0953349699490005,1.575,8
luke musgrave,00-0039144,Luke Musgrave,2023,6.664036968886545,7.21538461538462,13
luke schoonmaker,00-0038547,Luke Schoonmaker,2023,2.993854284955864,2.16923076923077,13
luke stocker,00-0028042,Luke Stocker,2011,3.3827202073825333,2.35555555555556,9
luke willson,00-0030089,Luke Willson,2013,2.4606763645779997,4.06428571428571,14
marcel jensen,00-0030822,Marcel Jensen,2014,1.3996943733062117,1.8,1
marcus baugh,00-0034169,Marcus Baugh,2020,2.2567111573337417,1.2,1
mark andrews,00-0034753,Mark Andrews,2018,4.775239179000653,6.66470588235294,17
mason schreck,00-0033798,Mason Schreck,2018,2.2193607402270152,0.0,1
mason taylor,00-0040736,Mason Taylor,2025,5.457681277266153,6.83846153846154,13
matt flanagan,00-0034101,Matt Flanagan,2018,1.6666341266445246,2.4,1
matt lacosse,00-0031744,Matt LaCosse,2015,2.280529722239744,5.2,1
matt sokol,00-0035436,Matt Sokol,2020,1.0310222408503993,0.0,1
maxx williams,00-0031558,Maxx Williams,2015,4.577573032845258,4.62857142857143,14
michael egnew,00-0029694,Michael Egnew,2013,2.853586827233979,1.98571428571429,7
michael mayer,00-0039066,Michael Mayer,2023,7.757028677285403,5.49230769230769,13
michael roberts,00-0033559,Michael Roberts,2017,2.7478564901000335,1.43333333333333,6
michael williams,00-0030110,Michael Williams,2015,1.9052217849556488,0.509090909090909,11
mike gesicki,00-0034829,Mike Gesicki,2018,5.002477652871743,2.87142857142857,14
mike higgins,00-0028522,Mike Higgins,2011,1.44382217064589,1.13333333333333,3
mike mcneill,00-0028651,Mike McNeill,2012,1.4960893201449574,1.42,5
miller forristall,00-0036692,Miller Forristall,2021,1.1394449925577714,0.0,1
mitchell evans,00-0040187,Mitchell Evans,2025,2.899044601396693,3.21333333333333,15
mitchell wilcox,00-0035771,Mitchell Wilcox,2021,1.7772747183788393,1.15,4
moliki matavao,00-0040244,Moliki Matavao,2025,2.948269946704575,3.0,1
mychal rivera,00-0030514,Mychal Rivera,2013,3.5128672881891427,6.41875,16
nate adkins,00-0038783,Nate Adkins,2023,1.355509140538897,1.24,5
nic jacobs,00-0030806,Nic Jacobs,2014,1.4040710248579116,1.37142857142857,7
nick kallerup,00-0040058,Nick Kallerup,2025,1.0124795087091871,0.0,4
nick kasa,00-0030512,Nick Kasa,2013,3.2225557124038713,1.975,4
