"player_key","games","fumbles_rec","fumbles_lost","fumbles_fum","interceptions_td","interceptions_yds","interceptions_int","receiving_td","receiving_yds","receiving_rec","rushing_td","rushing_yds","rushing_car","receiving_long","rushing_long","receiving_avg","rushing_avg","nfl_player_id","nfl_name","nfl_rookie_season","avg_weekly_ppr","n_weeks"
"wan dale robinson",12,0,0,1,0,0,0,7,1164,94,0,111,7,79,64,12.3829787234043,15.8571428571429,"00-0038117","Wan'Dale Robinson",2022,8.6,6
"xavier gipson",10,0,0,1,0,0,0,7,1163,65,0,71,9,67,26,17.8923076923077,7.88888888888889,"00-0038496","Xavier Gipson",2023,3.68823529411765,17
"xavier hutchinson",12,0,0,0,0,0,0,6,1171,107,0,0,0,38,NA,10.9439252336449,NA,"00-0038618","Xavier Hutchinson",2023,1.91428571428571,14
"xavier legette",12,0,1,1,0,0,0,7,1255,71,0,-9,9,76,7,17.6760563380282,-1,"00-0039342","Xavier Legette",2024,8.34,15
"xavier restrepo",12,0,2,2,0,0,0,11,1127,69,0,0,0,77,NA,16.3333333333333,NA,"00-0040522","Xavier Restrepo",2025,3.55,2
"xavier smith",10,0,0,0,0,0,0,11,1021,87,0,56,11,63,22,11.735632183908,5.09090909090909,"00-0038359","Xavier Smith",2024,0.3875,16
"xavier weaver",11,0,0,1,0,0,0,4,908,68,2,15,2,48,14,13.3529411764706,7.5,"00-0039521","Xavier Weaver",2024,0,2
"xavier worthy",13,1,2,3,0,0,0,5,969,73,0,35,4,54,16,13.2739726027397,8.75,"00-0039894","Xavier Worthy",2024,13.3526315789474,19
"zach pascal",12,0,0,1,0,0,0,8,893,63,0,120,20,53,25,14.1746031746032,6,"00-0033251","Zach Pascal",2018,4.84375,16
"zay flowers",12,0,1,4,0,0,0,12,1077,78,0,40,12,69,22,13.8076923076923,3.33333333333333,"00-0039064","Zay Flowers",2023,13.0777777777778,18
"zay jones",12,0,0,0,0,0,0,8,1731,156,0,24,4,77,13,11.0961538461538,6,"00-0033891","Zay Jones",2017,4.97333333333333,15
