player_id,player_display_name,season,games,overall,round,pick,height,weight,pre_draft_ranking,pre_draft_position_ranking,pre_draft_grade,carries_pg,rushing_yards_pg,rushing_tds_pg,receptions_pg,receiving_yards_pg,receiving_tds_pg,fumble_recovery_own_pg,rushing_fumbles_lost_pg,rushing_fumbles_pg,target_fp_ppr,target_games,college_flag
00-0012642,David Patten,2007,15,NA,NA,NA,NA,NA,NA,NA,NA,0.133333333333333,-0.333333333333333,0,3.6,52.8,0.2,0,0,0,6.64,5,0
00-0013232,Peerless Price,2004,17,53,2,22,NA,NA,NA,NA,NA,0.176470588235294,2,0,2.94117647058824,37.2941176470588,0.235294117647059,0,0,0,2.75,6,0
00-0013232,Peerless Price,2005,6,53,2,22,NA,NA,NA,NA,NA,0.166666666666667,1.5,0,1,16,0,0,0,0,6.875,16,0
00-0013232,Peerless Price,2006,16,53,2,22,NA,NA,NA,NA,NA,0.3125,1.125,0,3.125,25.125,0.1875,0,0,0,3.45,4,0
00-0013268,Ricky Proehl,2004,15,58,3,5,NA,NA,NA,NA,NA,0.0666666666666667,0.6,0,2.26666666666667,33.1333333333333,0,0,0,0,6.73333333333333,15,0
00-0013268,Ricky Proehl,2005,15,58,3,5,NA,NA,NA,NA,NA,0.0666666666666667,-0.533333333333333,0,1.93333333333333,32.5333333333333,0.266666666666667,0,0,0,3,2,0
00-0013888,Marcus Robinson,2004,17,108,4,12,NA,NA,NA,NA,NA,0,0,0,3.11764705882353,45.8823529411765,0.529411764705882,0,0,0,7.63333333333333,15,0
00-0013888,Marcus Robinson,2005,15,108,4,12,NA,NA,NA,NA,NA,0,0,0,2.06666666666667,34.3333333333333,0.333333333333333,0,0,0,11.3875,8,0
00-0015218,Jimmy Smith,2004,16,27,1,27,74,211,18,3,92,0,0,0,4.625,73.25,0.375,0,0,0,12.6058823529412,17,0
00-0015290,Rod Smith,2004,17,35,2,7,NA,NA,NA,NA,NA,0.294117647058824,1.94117647058824,0,5.05882352941176,73.1176470588235,0.470588235294118,0.176470588235294,0,0,14.4388888888889,18,0
00-0015290,Rod Smith,2005,18,35,2,7,NA,NA,NA,NA,NA,0.0555555555555556,0.388888888888889,0,5.27777777777778,70.1111111111111,0.388888888888889,0,0,0,7.41875,16,0
00-0015754,Brandon Stokley,2004,17,105,4,10,NA,NA,NA,NA,NA,0,0,0,4.58823529411765,69.0588235294118,0.588235294117647,0.117647058823529,0,0,7.96923076923077,13,0
00-0015754,Brandon Stokley,2005,13,105,4,10,NA,NA,NA,NA,NA,0,0,0,3.23076923076923,42.7692307692308,0.0769230769230769,0,0,0,5.625,4,0
00-0015754,Brandon Stokley,2006,4,105,4,10,NA,NA,NA,NA,NA,0,0,0,2,21.25,0.25,0,0,0,10.2230769230769,13,0
00-0015754,Brandon Stokley,2007,13,105,4,10,NA,NA,NA,NA,NA,0.0769230769230769,-0.461538461538462,0,3.07692307692308,48.8461538461538,0.384615384615385,0,0,0,7.98666666666667,15,0
00-0015754,Brandon Stokley,2008,15,105,4,10,NA,NA,NA,NA,NA,0,0,0,3.26666666666667,35.2,0.2,0,0,0,6.88181818181818,11,0
00-0015754,Brandon Stokley,2009,11,105,4,10,NA,NA,NA,NA,NA,0,0,0,1.72727272727273,29.7272727272727,0.363636363636364,0,0,0,8.16923076923077,13,0
00-0015754,Brandon Stokley,2010,13,105,4,10,NA,NA,NA,NA,NA,0,0,0,3.30769230769231,39.3846153846154,0.153846153846154,0,0,0,0.85,2,0
00-0015754,Brandon Stokley,2012,15,105,4,10,NA,NA,NA,NA,NA,0,0,0,3.2,38.0666666666667,0.4,0,0,0,4.08333333333333,6,0
00-0015980,Reggie Swinton,2004,12,NA,NA,NA,NA,NA,NA,NA,NA,0.0833333333333333,0.25,0,1.5,17.75,0.0833333333333333,0,0,0,0,15,0
00-0016440,James Thrash,2004,15,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.13333333333333,13.5333333333333,0,0,0,0,2.975,12,0
00-0016440,James Thrash,2005,12,NA,NA,NA,NA,NA,NA,NA,NA,0.0833333333333333,0.666666666666667,0,1.25,16.5833333333333,0,0,0,0,2.75833333333333,12,0
00-0016440,James Thrash,2006,12,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,12.5833333333333,0.0833333333333333,0,0,0,3.52222222222222,9,0
